Name ,Length,Type,Age,Gender
Chris Stapleton,121,Country,44,M
Mickey Guyton,102,Country,38,F
Eric Church ,137,Country,43,M
Demi Lovato,109,Pop,27,F
Gladys Knight,121,R&B,74,F
Pink,112,Pop,38,F
Luke Bryan,124,Country,40,M
Lady gaga,144,Pop,29,F
Idina Menzel,124,Pop,43,F
Renee Fleming,123,Opera,54,F
Alicia Keys,156,R&B,32,F
Kelly Clarkson,94,Pop,29,F
Christina Aguilera,113,Pop,30,F
Carrie Underwood,107,Country,26,F
Jennifer Hudson,130,R&B,27,F
Jordin Sparks,114,Pop,18,F
Billy Joel,90,Rock,57,M
Aaron Neville ,129,R&B,65,M
Beyonce,129,R&B,23,F
Dixie Chicks,93,Country,29,F
Mariah Carey,116,Pop,31,F
Faith Hill,120,Country,32,F
Cher,115,Pop,44,F
Jewel,87,Pop,23,F
Luther Vandross,113,R&B,45,M
Vanessa Williams,95,R&B,32,F
Kathie Lee Gifford,100,Pop,42,F
Natalie Cole,153,R&B,43,F
Garth Brooks,105,Country,31,M
Harry Connick ,146,Pop,24,M
Whitney Houston,116,R&B,27,F
Aaron Neville ,85,R&B,48,M
